stimulus_id,drift_detected,best_match_id,assigned_wer,best_neighbor_wer
1,False,1,0.0,0.0
2,False,2,0.0,0.0
3,False,3,0.4,0.4
4,False,4,0.8,0.8
5,False,5,0.5,0.5
6,False,6,0.0,0.0
7,False,7,0.0,0.0
8,False,8,0.1429,0.1429
9,False,9,0.0,0.0
10,False,10,0.0,0.0
11,False,11,0.4444,0.4444
12,False,12,0.0,0.0
13,False,13,0.1111,0.1111
14,False,14,0.7143,0.7143
15,False,15,0.125,0.125
16,False,16,0.7778,0.7778
17,False,17,0.3333,0.3333
18,False,18,0.5714,0.5714
19,True,20,1.0,0.2727
20,True,21,1.0,0.6
21,True,22,1.0,0.5
22,True,23,1.0,0.1
23,True,24,0.9,0.25
24,True,25,0.875,0.5
25,True,26,1.0,0.4444
26,True,27,1.0,0.3636
27,True,28,1.0,0.6
28,False,28,1.0,0.75
29,False,29,0.4167,0.4167
30,False,30,0.1,0.1
